ID	TD1	TD2	BM1	TD3	BM2	BM3	TD4	TD5	TD6	BM4	TD7	TD8	BM5	TD9	BM6	BM7	BM8	BM9	TD10	BM10
UniRef50_A3CKK8: UPF0310 protein SSA_0254|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	2.42541e-06	1.15932e-06	8.04204e-06	3.65888e-07	1.96391e-06	9.20051e-05	0	0	7.03745e-06	1.78177e-05	1.04094e-06	8.08957e-08	9.07756e-05	2.26644e-07	8.23991e-05	0.000102831	1.68802e-06	7.08721e-05	3.54271e-07	1.96163e-05
UniRef50_A3CKW3: Small-conductance mechanosensitive efflux channel, putative|g__Streptococcus.s__Streptococcus_salivarius	8.38265e-06	6.44361e-05	4.02984e-07	1.12878e-06	9.09691e-07	8.27143e-07	3.17237e-05	3.83806e-05	2.85725e-05	1.23333e-06	6.02221e-06	1.44813e-05	7.70059e-07	1.03261e-05	3.13394e-07	1.04079e-05	7.66915e-07	3.56684e-07	1.60793e-05	1.0795e-06
UniRef50_A3CNT1: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	3.71459e-06	4.44296e-05	2.1755e-06	8.10712e-07	3.99782e-06	1.53352e-07	1.85961e-05	2.26948e-05	1.55025e-05	8.42886e-06	4.79606e-06	8.15118e-06	6.3176e-06	6.40292e-06	1.15158e-05	7.15857e-06	2.27141e-06	3.54823e-06	1.05125e-05	9.64214e-06
UniRef50_A3MYV4: UPF0301 protein APL_0232	0.000188597	1.82168e-05	4.28951e-05	0.000125501	0.000108925	1.08351e-05	3.03603e-05	7.90785e-05	0.000111905	1.1873e-05	3.47843e-05	5.08499e-06	7.18352e-06	6.13054e-05	7.48587e-05	5.86306e-06	2.17415e-05	1.04075e-05	8.90731e-05	2.67319e-05
UniRef50_A4VWT1	6.43843e-05	0.000170694	0.000163819	3.48175e-05	0.000205231	0.000276207	5.83854e-05	3.97612e-05	5.98319e-05	0.000192753	3.69436e-05	2.36822e-05	0.000188476	2.6705e-05	8.81174e-05	0.000208176	0.000205837	0.000193477	6.95547e-05	0.000101326
UniRef50_A4VYI2: Transcription-repair-coupling factor	2.61061e-05	6.78219e-05	5.81295e-06	3.4016e-05	9.07096e-06	1.06406e-05	3.22596e-05	4.39523e-05	3.05434e-05	2.15609e-05	1.25636e-05	2.37397e-05	1.12638e-05	3.57941e-05	2.36891e-05	2.76914e-05	6.16463e-06	5.99749e-06	3.59991e-05	1.38554e-05
UniRef50_A4W3M3: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	7.44939e-05	0.000232966	0.000163449	5.78893e-05	0.000253808	0.000263005	0.000107252	6.83775e-05	0.000125903	0.000262756	5.4613e-05	4.49093e-05	0.000209978	5.18095e-05	0.000213059	0.000223752	0.000246554	0.000263223	8.80506e-05	0.000167682
UniRef50_A5CUU9: UPF0234 protein CMM_2802	5.73312e-07	1.63175e-06	7.29158e-07	2.07684e-06	1.05746e-05	4.8306e-07	4.88174e-07	9.96974e-07	5.96154e-07	1.68014e-05	2.77069e-06	6.94223e-07	3.89173e-05	4.58416e-07	8.42126e-06	6.68573e-06	2.20612e-06	9.65823e-06	4.23723e-07	1.94905e-05
UniRef50_A5TTL4: Iron (Fe3+) ABC superfamily ATP binding cassette transporter binding protein	2.43143e-05	1.20828e-06	7.11416e-07	1.55739e-05	1.3103e-06	1.3289e-06	1.21861e-05	3.8324e-06	4.65303e-06	5.68016e-06	3.70324e-06	8.93513e-06	1.19359e-06	2.99371e-05	5.07191e-06	2.83802e-06	2.27642e-06	1.79996e-06	1.96829e-05	5.54637e-06
UniRef50_A5TWA5: Homoserine dehydrogenase	2.84325e-05	1.70916e-06	9.81435e-06	2.19447e-05	4.22342e-05	1.128e-05	9.82007e-06	2.08634e-06	3.59523e-06	2.38738e-05	2.61065e-06	8.26703e-06	6.88434e-05	3.47328e-05	1.13315e-05	7.76095e-06	4.46303e-06	2.16744e-05	2.06647e-05	2.07479e-05
UniRef50_A5UCE3: Dithiobiotin synthetase	1.18172e-06	7.54384e-07	3.31825e-05	4.31475e-07	9.93942e-05	8.93907e-05	1.26488e-07	0	3.37739e-06	4.04974e-05	4.01441e-07	4.72997e-08	1.77052e-05	3.97968e-07	9.99671e-05	4.9529e-06	8.06764e-05	5.32371e-05	5.64852e-07	9.5065e-05
UniRef50_A5UDU5: 50S ribosomal protein L23|g__Haemophilus.s__Haemophilus_parainfluenzae	0.000112038	2.06294e-05	1.47537e-05	6.10418e-05	6.85904e-05	2.32868e-05	3.52907e-05	8.68755e-05	4.63185e-05	2.29387e-05	3.27566e-05	6.42232e-06	1.42518e-05	4.56986e-05	6.81238e-05	0	2.09827e-05	2.17326e-05	7.65198e-05	4.08277e-05
UniRef50_A5WFD7: Crossover junction endodeoxyribonuclease RuvC|g__Haemophilus.s__Haemophilus_haemolyticus	1.82483e-07	0	8.82171e-06	4.99746e-08	3.98858e-06	9.02456e-05	0	0	1.15226e-07	3.0963e-05	3.97503e-07	0	2.51853e-05	0	3.56223e-05	0	2.10803e-05	5.10729e-05	6.23073e-08	7.7267e-05
UniRef50_A6L6X0: 50S ribosomal protein L25|g__Prevotella.s__Prevotella_melaninogenica	4.92681e-06	5.26728e-06	3.88016e-07	1.14277e-06	0	0	1.17397e-05	1.05305e-05	3.05184e-05	2.98598e-06	6.95898e-06	2.27013e-05	1.13003e-06	1.06968e-05	0	7.10639e-06	4.18874e-07	0	3.59488e-05	1.83812e-06
UniRef50_A6QCQ3: 50S ribosomal protein L22|g__Campylobacter.s__Campylobacter_concisus	2.03059e-06	5.59086e-06	4.98315e-07	1.31395e-06	0	0	2.84516e-05	1.49074e-05	1.48833e-05	2.60579e-06	8.74383e-06	1.28787e-05	0	8.68041e-06	0	0	0	0	1.01216e-06	0
UniRef50_A6VLZ5: Polar amino acid ABC transporter, inner membrane subunit|g__Haemophilus.s__Haemophilus_parainfluenzae	0.000188072	1.74952e-05	9.75526e-06	0.000122747	0.000102112	4.18095e-06	2.78052e-05	7.16146e-05	0.000105841	1.10336e-05	3.78628e-05	5.25308e-06	9.20584e-06	5.68766e-05	7.11467e-05	6.2536e-06	1.43291e-05	8.5652e-06	0.00010116	3.04684e-05
UniRef50_A6VNG8: Auxin Efflux Carrier|g__Haemophilus.s__Haemophilus_parainfluenzae	0.000184475	1.49022e-05	9.47209e-06	0.000103455	7.1499e-05	6.69741e-06	2.62065e-05	6.1061e-05	7.96777e-05	5.30238e-06	1.73688e-05	5.11765e-06	4.79578e-06	4.47281e-05	8.09846e-05	8.67311e-06	1.87313e-05	5.33487e-06	6.94006e-05	1.97745e-05
UniRef50_A7HZW7: Nucleoid-associated protein CHAB381_0200	2.12253e-06	4.03917e-06	0	1.42367e-06	0	0	2.64105e-05	2.0298e-05	9.55963e-06	8.90012e-06	9.84747e-06	1.81567e-05	5.30485e-06	5.37446e-06	0	0	0	0	4.78555e-07	6.19714e-07
UniRef50_A7MHV7	0.000111762	1.57647e-05	3.49081e-05	7.59079e-05	6.5232e-05	3.45909e-05	1.75664e-05	4.98445e-05	6.38066e-05	1.93148e-05	2.92435e-05	3.63863e-06	2.45532e-05	3.37028e-05	6.77176e-05	0	7.16157e-05	4.55986e-05	6.81559e-05	7.59031e-05
UniRef50_A7ZAW8	2.99654e-06	5.78006e-06	0	1.30229e-06	0	0	3.8549e-05	2.37094e-05	1.21669e-05	0	1.77115e-05	2.43145e-05	0	1.25388e-05	0	0	0	0	2.93331e-06	0
UniRef50_A7ZB89	1.51566e-06	4.62426e-06	0	1.10833e-06	0	2.32385e-07	2.62267e-05	1.9842e-05	1.00318e-05	3.10177e-06	9.07819e-06	1.86707e-05	0	6.27968e-06	0	0	0	0	6.84264e-07	3.16449e-07
UniRef50_A8AV04|g__Streptococcus.s__Streptococcus_gordonii	0	0	3.62259e-05	0	3.39114e-05	3.21184e-05	0	0	1.03822e-05	1.11201e-05	3.82998e-06	0	1.66065e-05	0	5.70938e-05	0	9.18007e-05	6.39705e-05	0	1.99137e-05
UniRef50_A8AV49|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	7.93193e-06	9.91118e-06	4.5565e-05	6.0737e-06	1.08319e-06	5.29634e-05	1.8633e-05	0	4.61772e-06	2.11732e-05	9.86505e-07	8.03119e-07	3.90581e-05	5.19013e-06	4.45364e-05	3.08919e-06	8.51008e-05	4.50194e-05	3.82917e-06	7.26192e-06
UniRef50_A8AWA5: Esterase of alpha/beta hydrolase superfamily, putative|g__Streptococcus.s__Streptococcus_salivarius	4.63803e-06	4.89142e-05	3.34765e-07	8.849e-07	0	1.68032e-07	2.07184e-05	2.96515e-05	1.91712e-05	7.56677e-07	5.24907e-06	8.47923e-06	2.89793e-06	7.33743e-06	0	9.17906e-06	3.4651e-07	0	1.04234e-05	2.27263e-07
UniRef50_A8AWQ9: Plasmid replication protein-like protein|g__Streptococcus.s__Streptococcus_gordonii	0	0	2.2351e-06	0	0	8.33799e-06	0	0	1.54253e-06	0	1.26038e-07	0	6.41511e-05	0	2.9329e-06	1.67385e-05	1.97109e-06	3.25973e-05	0	2.4575e-06
UniRef50_A8AX22|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	5.54698e-06	4.10021e-06	2.84755e-06	1.82519e-06	3.66029e-06	1.71454e-06	5.21335e-06	0	5.32833e-06	6.48038e-06	3.54039e-06	8.43769e-07	1.00079e-05	1.00588e-06	4.26095e-05	7.94886e-06	2.54134e-06	1.08102e-05	1.62203e-06	1.40969e-05
UniRef50_A8GIP4: Lysine--tRNA ligase	1.31368e-05	1.74113e-05	4.75513e-06	8.37926e-06	4.45072e-07	1.11106e-06	1.64687e-05	1.20457e-05	1.515e-05	5.02474e-06	1.85286e-05	5.01589e-06	8.13236e-07	5.16009e-06	7.20909e-06	4.52014e-06	1.39483e-06	2.38829e-05	1.67699e-05	1.65583e-05
UniRef50_A9H9A8: ATP synthase subunit beta|g__Veillonella.s__Veillonella_parvula	9.64051e-06	5.92035e-06	6.61555e-07	1.62142e-06	4.70855e-07	7.41319e-08	1.05439e-05	3.68069e-06	3.90043e-06	6.27763e-06	2.6577e-06	8.22731e-06	7.76724e-06	1.85819e-06	9.81651e-06	8.18693e-06	6.61511e-07	1.4913e-06	1.63154e-05	4.21233e-06
UniRef50_A9II09: Respiratory-chain NADH dehydrogenase I, 24 kDa subunit	1.85015e-05	1.27171e-07	8.68293e-06	1.09486e-05	5.68653e-06	2.80205e-06	8.46128e-06	6.01293e-05	2.28799e-05	2.5295e-05	0.000150113	3.15433e-06	1.51969e-06	1.75905e-05	1.30539e-05	0	2.0143e-06	3.93448e-06	1.06259e-06	2.4558e-05
UniRef50_A9LZH4: Acetyltransferase|g__Neisseria.s__Neisseria_flavescens	1.65446e-05	0	0	5.36304e-06	0	5.24563e-07	6.59762e-06	4.37946e-05	1.3516e-05	7.68187e-06	8.58535e-05	2.85519e-06	0	6.44582e-06	0	0	1.82418e-06	0	6.15664e-07	0
UniRef50_A9LZM7: Pseudouridine synthase	1.49028e-05	0	4.55423e-06	8.20881e-06	1.06947e-06	1.80984e-06	4.69132e-06	4.02351e-05	1.8892e-05	1.71604e-05	0.000123468	1.84103e-06	9.79357e-07	1.51491e-05	1.39325e-05	0	2.2363e-06	3.79851e-06	5.54993e-07	1.52013e-05
UniRef50_A9M0K3: Pseudouridine synthase	2.05081e-05	0	7.62335e-06	8.91468e-06	0	1.03796e-06	6.33668e-06	5.76339e-05	2.12339e-05	1.32175e-05	0.000119455	3.24305e-06	1.03791e-06	1.37602e-05	4.11744e-06	0	2.17352e-06	4.47794e-07	7.42271e-07	4.80218e-07
UniRef50_A9M323|g__Neisseria.s__Neisseria_flavescens	1.75257e-05	0	0	6.5653e-06	0	7.39656e-07	4.1093e-06	1.47889e-06	2.02693e-05	1.19884e-05	0.00010942	2.26275e-06	1.11464e-06	1.13165e-05	0	0	0	0	6.60541e-07	0
UniRef50_A9WR30: DNA polymerase III subunit beta|g__Rothia.s__Rothia_mucilaginosa	1.08139e-05	4.92789e-05	1.39139e-06	7.43471e-05	1.79814e-06	6.45782e-07	1.24626e-05	1.79339e-05	2.01283e-05	3.13374e-06	2.3952e-05	1.09404e-05	1.5999e-06	4.25136e-06	8.82917e-07	4.28506e-06	4.19672e-07	3.78823e-06	1.9485e-05	1.89427e-06
UniRef50_B0U5L0: 50S ribosomal protein L24|g__Neisseria.s__Neisseria_subflava	6.53773e-05	0	2.57915e-06	4.17963e-06	0	7.43111e-07	1.19802e-05	7.85825e-05	1.67254e-05	7.65688e-06	0.000135499	5.90848e-06	1.78243e-05	1.38828e-05	0	0	2.8711e-06	0	2.02166e-06	0
UniRef50_B1I838	4.73952e-07	0	3.09095e-05	4.23516e-07	4.15751e-05	6.78123e-05	2.94544e-07	0	3.07958e-07	4.08096e-05	0	0	1.92243e-05	0	1.53755e-05	4.41993e-05	5.30706e-05	5.0945e-05	1.36108e-07	1.85023e-05
UniRef50_B1ICL8: Acetyltransferase, gnat family	1.20803e-05	5.78843e-06	6.77657e-05	4.93861e-06	5.57258e-05	8.85282e-05	1.89905e-05	4.49269e-06	2.24973e-05	4.49662e-05	7.51126e-06	3.78678e-06	9.55456e-05	9.35285e-06	4.52339e-05	5.99345e-05	6.20869e-05	0.000116846	6.26181e-06	2.87926e-05
UniRef50_B1MB87: Urease accessory protein UreG|g__Haemophilus.s__Haemophilus_sputorum	0	4.93598e-06	0	4.52256e-06	0	2.19298e-05	0	0	8.96183e-06	0	0	0	6.38765e-06	4.50154e-07	1.54559e-05	1.65392e-06	3.02561e-05	0	0	1.8785e-05
UniRef50_B1W3N7: Bifunctional protein FolD	6.09579e-06	2.35429e-05	9.66569e-07	3.68933e-05	7.11671e-06	4.87165e-07	1.8356e-05	1.29486e-05	1.30313e-05	9.93101e-06	2.53422e-05	1.41245e-05	1.41318e-05	1.07575e-05	2.94975e-06	1.00342e-05	1.9307e-06	9.68336e-06	9.23698e-06	1.27546e-05
UniRef50_B1YKC5: Acetate kinase|g__Streptococcus.s__Streptococcus_salivarius	1.61697e-06	1.23022e-05	9.49401e-08	1.00292e-06	9.13646e-07	1.87361e-07	1.20932e-05	3.75072e-05	9.33923e-06	2.56135e-06	6.1845e-06	6.3323e-06	5.5355e-07	8.22402e-06	0	7.86601e-06	3.17478e-07	9.55293e-07	1.61741e-05	5.156e-07
UniRef50_B2DZF6|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	3.34378e-06	3.53412e-06	1.33461e-06	1.17764e-06	8.77993e-05	1.36806e-05	5.94568e-07	0	2.01051e-06	5.51986e-05	2.14933e-06	1.8599e-07	9.64414e-05	4.07944e-07	3.63436e-06	1.25187e-05	1.00465e-06	1.73517e-05	1.19419e-06	6.61917e-06
UniRef50_B2IN20|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	0	0	8.96811e-06	7.87487e-05	2.59344e-06	0	0	0	0	2.50479e-05	2.13361e-05	8.23941e-06	0	0
UniRef50_B2INL8|g__Gemella.s__Gemella_haemolysans	1.64579e-07	4.22693e-07	1.28874e-05	1.27355e-07	4.63875e-05	1.36558e-05	0	0	2.94604e-07	2.08467e-05	5.19142e-07	1.3961e-07	8.283e-05	1.32656e-07	8.87109e-06	0	4.05196e-06	2.84596e-05	2.42079e-07	2.69791e-05
UniRef50_B2IQ86: Rgg protein, putative	2.47111e-06	6.42067e-07	5.14571e-05	5.8974e-07	6.94037e-05	5.4946e-06	7.55989e-06	0	7.68448e-06	3.28136e-05	1.25183e-06	6.86971e-08	7.45024e-07	1.56308e-06	1.08272e-05	0.000132279	0.000204739	4.78489e-05	1.88076e-07	1.33526e-05
UniRef50_B2IRI7|g__Streptococcus.s__Streptococcus_pseudopneumoniae	0	0	2.78103e-05	0	0	0	0	0	0	0	0	0	0	0	9.73041e-06	0	4.10922e-05	2.56964e-05	0	2.52168e-06
UniRef50_B2RIY7: GTPase Obg|g__Prevotella.s__Prevotella_melaninogenica	4.32458e-06	5.56896e-06	1.82642e-07	1.00841e-06	2.94312e-07	3.6628e-07	1.07486e-05	1.02803e-05	2.63012e-05	2.25102e-06	6.39888e-06	2.1083e-05	1.06494e-06	1.10047e-05	0	1.68776e-06	4.09141e-07	0	3.64977e-05	1.24984e-06
UniRef50_B2RJF8: Phosphatidylserine decarboxylase proenzyme	5.79426e-06	2.3444e-07	5.35153e-06	1.84494e-05	0	0	3.20549e-06	1.63096e-07	1.29766e-06	9.34647e-06	1.00197e-06	1.01783e-06	0	3.79405e-05	1.06042e-05	1.48907e-06	5.7657e-07	5.25072e-06	2.60209e-06	1.21486e-05
UniRef50_B2S5S6: Threonine--tRNA ligase	2.97857e-05	8.82685e-08	8.87831e-06	1.00442e-05	5.90752e-06	2.18351e-06	7.17021e-06	5.8082e-05	2.67602e-05	2.44729e-05	0.000134678	3.37771e-06	1.87601e-06	1.54497e-05	4.14231e-06	0	3.54633e-06	4.16086e-06	9.42504e-07	2.36656e-05
UniRef50_B2V4G9: Translation initiation factor IF-2|g__Gemella.s__Gemella_haemolysans	2.93515e-07	1.99081e-07	3.90975e-06	1.33215e-07	3.2378e-05	7.58096e-06	3.55019e-08	0	1.11315e-07	1.60332e-05	1.46338e-07	3.98275e-08	3.88999e-05	8.68774e-08	3.09242e-06	4.62637e-06	1.4031e-06	1.61583e-05	6.79456e-08	9.97454e-06
UniRef50_B3D9S8	8.25503e-06	9.76585e-06	1.64727e-05	6.83348e-06	2.02621e-05	1.71659e-05	6.58862e-06	1.05959e-05	5.50899e-06	1.2518e-05	1.14691e-05	3.70987e-06	1.35674e-05	5.65954e-06	1.11311e-05	1.81567e-05	1.32916e-05	1.98507e-05	9.10264e-06	1.94049e-05
UniRef50_B3ESC6: Peptidyl-tRNA hydrolase	5.00371e-06	2.9674e-07	2.18599e-06	1.94745e-05	0	0	2.95581e-06	1.79757e-07	6.07494e-07	6.39012e-06	1.13718e-06	2.89065e-07	0	4.10205e-05	9.83278e-06	0	1.25982e-06	1.06247e-05	2.58867e-06	9.86738e-06
UniRef50_B3WA82: Gamma-glutamyl phosphate reductase|g__Neisseria.s__Neisseria_subflava	1.63887e-05	0	0	5.72169e-06	0	5.96567e-07	3.87519e-06	2.89012e-05	1.38061e-05	7.04358e-06	7.14417e-05	1.43656e-06	1.46286e-06	7.61272e-06	0	0	6.58935e-07	0	5.11723e-07	0
UniRef50_B4RNI0	2.77416e-05	0	5.24395e-06	9.21841e-06	5.61638e-06	1.77167e-06	6.0096e-06	5.94693e-05	2.01623e-05	1.62143e-05	0.000120313	2.9077e-06	8.16131e-07	1.51738e-05	1.28214e-05	0	4.72474e-06	3.43229e-06	9.78822e-07	2.88352e-05
UniRef50_B4SMK1: L-lactate dehydrogenase [cytochrome]	8.25599e-07	9.16594e-07	5.91119e-05	1.68771e-06	1.28972e-05	1.312e-06	0	2.4179e-07	2.95333e-06	2.95482e-06	2.1474e-07	1.48634e-07	6.52901e-06	1.04068e-06	8.09868e-05	2.60458e-06	8.5916e-06	7.57646e-06	2.50119e-06	2.23282e-05
UniRef50_B4U2B4: Septation ring formation regulator EzrA|g__Streptococcus.s__Streptococcus_salivarius	6.07581e-06	5.46224e-05	3.01097e-07	8.87682e-07	3.8771e-07	5.4303e-07	2.37234e-05	3.03838e-05	2.19508e-05	1.62773e-06	4.9607e-06	1.02234e-05	3.52352e-07	7.35746e-06	2.86796e-07	1.06234e-05	8.09753e-07	6.08074e-07	1.24421e-05	4.10169e-07
UniRef50_B5E6C4	8.96977e-07	0	1.4016e-05	0	8.29136e-06	5.26782e-05	3.33042e-07	1.06157e-07	1.81305e-06	3.63436e-05	1.55924e-07	1.96747e-07	3.91414e-06	2.99704e-07	7.02435e-06	2.40032e-05	4.91416e-06	7.26562e-06	4.56376e-08	1.15341e-05
UniRef50_B5HWD3: Transcriptional regulator WhiB|g__Rothia.s__Rothia_mucilaginosa	9.43873e-06	3.96057e-05	1.80559e-06	6.69775e-05	0	0	1.60322e-05	1.86735e-05	1.76884e-05	4.05985e-06	2.80853e-05	6.61706e-06	0	3.10931e-06	0	0	7.10058e-07	1.64788e-06	1.81828e-05	2.48941e-06
UniRef50_B7GP15: ABC transporter related	0	1.76944e-06	0	1.69824e-05	0	0	1.45815e-05	1.1478e-05	1.81077e-06	7.96939e-07	6.85645e-07	3.31358e-05	1.02859e-06	1.49251e-05	0	1.6361e-06	0	4.60302e-07	4.22653e-06	1.43943e-06
UniRef50_B7KKV6: Transposase, IS605 OrfB family	5.78465e-05	7.72315e-07	2.55501e-06	5.51324e-05	6.2728e-07	1.70112e-06	4.13145e-05	6.71206e-06	5.01512e-06	1.53091e-06	3.31061e-06	6.99838e-05	7.65097e-06	0.000129183	2.14881e-05	0	7.78867e-06	1.40627e-06	7.67583e-05	1.20737e-05
UniRef50_B7MGN9: Cyclic pyranopterin monophosphate synthase|g__Haemophilus.s__Haemophilus_influenzae	0	0	5.35485e-06	5.27967e-05	0	0	0	0	6.43163e-05	0	0	0	0	2.22774e-05	0	2.98038e-06	9.31999e-06	0	0	0
UniRef50_B7UZU0: Na(+)-translocating NADH-quinone reductase subunit D	5.65962e-05	1.7095e-05	1.60625e-05	4.2799e-05	2.30769e-06	3.87892e-06	3.10665e-05	8.51268e-05	8.29852e-05	4.06693e-05	0.000150044	6.46217e-05	9.55764e-06	8.84655e-05	5.61166e-05	1.69472e-05	8.80419e-06	1.10264e-05	7.64026e-05	4.67517e-05
UniRef50_B8DG21: UPF0154 protein LMHCC_1264|g__Gemella.s__Gemella_haemolysans	1.24783e-07	0	1.03502e-05	0	3.98264e-05	1.76323e-05	9.52562e-08	0	3.6476e-07	1.43858e-05	1.32837e-07	1.7665e-07	4.33424e-05	0	6.34464e-06	0	3.34735e-06	2.99653e-05	6.05198e-08	1.43771e-05
UniRef50_B8ZK99|g__Streptococcus.s__Streptococcus_sanguinis	1.02086e-06	2.86982e-06	3.15593e-05	8.58861e-06	9.28266e-06	5.60442e-05	2.73547e-06	0	8.67861e-08	8.50476e-06	1.46852e-07	1.03696e-06	3.03134e-06	1.72996e-06	1.95615e-05	9.02302e-05	4.89436e-05	4.84319e-05	3.667e-07	9.20147e-06
